2023-11-02 10:54 before_fed Round:   0 | Epochs:   0 | Domain: a | loss: 0.5313 | acc: 86.54% | auc: 98.34%
2023-11-02 10:55 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.5278 | acc: 85.65% | auc: 97.51%
2023-11-02 10:57 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.4065 | acc: 87.94% | auc: 98.73%
2023-11-02 10:59 after_fed Round:   0 | Epochs:   0 | Domain: a | loss: 2.0924 | acc: 24.04% | auc: 65.29%
2023-11-02 10:59 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 1.8653 | acc: 27.85% | auc: 79.55%
2023-11-02 10:59 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.7339 | acc: 79.15% | auc: 97.68%
2023-11-02 10:59 Model saved! Best Val Acc: 51.13%
2023-11-02 10:59 test_domain Round:   0 | Epochs:   0 | Domain: p | loss: 1.5599 | acc: 36.35% | auc: 84.87%
2023-11-02 11:01 before_fed Round:   1 | Epochs:   5 | Domain: a | loss: 0.3958 | acc: 87.02% | auc: 98.75%
2023-11-02 11:02 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.3609 | acc: 91.56% | auc: 98.66%
2023-11-02 11:04 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.3082 | acc: 90.95% | auc: 99.18%
2023-11-02 11:06 after_fed Round:   1 | Epochs:   5 | Domain: a | loss: 0.9204 | acc: 71.15% | auc: 94.71%
2023-11-02 11:06 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.7777 | acc: 70.46% | auc: 96.56%
2023-11-02 11:06 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.5284 | acc: 85.18% | auc: 98.17%
2023-11-02 11:06 Model saved! Best Val Acc: 77.58%
2023-11-02 11:07 test_domain Round:   1 | Epochs:   5 | Domain: p | loss: 0.5124 | acc: 89.34% | auc: 98.66%
2023-11-02 11:08 before_fed Round:   2 | Epochs:  10 | Domain: a | loss: 0.3544 | acc: 89.90% | auc: 98.94%
2023-11-02 11:09 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.2998 | acc: 91.98% | auc: 99.00%
2023-11-02 11:11 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.2516 | acc: 91.96% | auc: 99.44%
2023-11-02 11:13 after_fed Round:   2 | Epochs:  10 | Domain: a | loss: 0.7911 | acc: 72.60% | auc: 96.15%
2023-11-02 11:13 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.6501 | acc: 75.11% | auc: 97.27%
2023-11-02 11:14 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.3915 | acc: 88.44% | auc: 98.83%
2023-11-02 11:14 Model saved! Best Val Acc: 80.79%
2023-11-02 11:14 test_domain Round:   2 | Epochs:  10 | Domain: p | loss: 0.3977 | acc: 90.00% | auc: 99.02%
2023-11-02 11:15 before_fed Round:   3 | Epochs:  15 | Domain: a | loss: 0.3291 | acc: 88.94% | auc: 99.04%
2023-11-02 11:17 before_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.2793 | acc: 91.98% | auc: 99.09%
2023-11-02 11:18 before_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.2326 | acc: 92.46% | auc: 99.44%
2023-11-02 11:20 after_fed Round:   3 | Epochs:  15 | Domain: a | loss: 0.7202 | acc: 75.00% | auc: 96.82%
2023-11-02 11:21 after_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.6251 | acc: 75.53% | auc: 97.63%
2023-11-02 11:21 after_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.3260 | acc: 89.45% | auc: 99.11%
2023-11-02 11:21 Model saved! Best Val Acc: 81.97%
2023-11-02 11:21 test_domain Round:   3 | Epochs:  15 | Domain: p | loss: 0.3433 | acc: 90.54% | auc: 99.19%
2023-11-02 11:22 before_fed Round:   4 | Epochs:  20 | Domain: a | loss: 0.3025 | acc: 91.35% | auc: 99.17%
2023-11-02 11:24 before_fed Round:   4 | Epochs:  20 | Domain: c | loss: 0.2576 | acc: 92.41% | auc: 99.20%
2023-11-02 11:26 before_fed Round:   4 | Epochs:  20 | Domain: s | loss: 0.2170 | acc: 92.46% | auc: 99.51%
2023-11-02 11:28 after_fed Round:   4 | Epochs:  20 | Domain: a | loss: 0.6543 | acc: 78.85% | auc: 97.32%
2023-11-02 11:28 after_fed Round:   4 | Epochs:  20 | Domain: c | loss: 0.5905 | acc: 79.32% | auc: 97.97%
2023-11-02 11:28 after_fed Round:   4 | Epochs:  20 | Domain: s | loss: 0.2811 | acc: 89.95% | auc: 99.30%
2023-11-02 11:28 Model saved! Best Val Acc: 84.22%
2023-11-02 11:28 test_domain Round:   4 | Epochs:  20 | Domain: p | loss: 0.2967 | acc: 91.86% | auc: 99.41%
2023-11-02 11:30 before_fed Round:   5 | Epochs:  25 | Domain: a | loss: 0.2887 | acc: 92.31% | auc: 99.24%
2023-11-02 11:31 before_fed Round:   5 | Epochs:  25 | Domain: c | loss: 0.2256 | acc: 92.41% | auc: 99.37%
2023-11-02 11:33 before_fed Round:   5 | Epochs:  25 | Domain: s | loss: 0.2017 | acc: 92.71% | auc: 99.63%
2023-11-02 11:35 after_fed Round:   5 | Epochs:  25 | Domain: a | loss: 0.6135 | acc: 79.81% | auc: 97.53%
2023-11-02 11:35 after_fed Round:   5 | Epochs:  25 | Domain: c | loss: 0.5404 | acc: 81.86% | auc: 98.27%
2023-11-02 11:35 after_fed Round:   5 | Epochs:  25 | Domain: s | loss: 0.2586 | acc: 89.95% | auc: 99.40%
2023-11-02 11:35 Model saved! Best Val Acc: 85.17%
2023-11-02 11:35 test_domain Round:   5 | Epochs:  25 | Domain: p | loss: 0.2904 | acc: 91.26% | auc: 99.40%
2023-11-02 11:37 before_fed Round:   6 | Epochs:  30 | Domain: a | loss: 0.2810 | acc: 91.35% | auc: 99.27%
2023-11-02 11:38 before_fed Round:   6 | Epochs:  30 | Domain: c | loss: 0.2201 | acc: 92.41% | auc: 99.42%
2023-11-02 11:40 before_fed Round:   6 | Epochs:  30 | Domain: s | loss: 0.1901 | acc: 93.22% | auc: 99.65%
2023-11-02 11:42 after_fed Round:   6 | Epochs:  30 | Domain: a | loss: 0.5968 | acc: 78.85% | auc: 97.64%
2023-11-02 11:42 after_fed Round:   6 | Epochs:  30 | Domain: c | loss: 0.5131 | acc: 81.86% | auc: 98.50%
2023-11-02 11:42 after_fed Round:   6 | Epochs:  30 | Domain: s | loss: 0.2377 | acc: 90.70% | auc: 99.48%
2023-11-02 11:42 Model saved! Best Val Acc: 85.29%
2023-11-02 11:42 test_domain Round:   6 | Epochs:  30 | Domain: p | loss: 0.2765 | acc: 91.50% | auc: 99.43%
2023-11-02 11:44 before_fed Round:   7 | Epochs:  35 | Domain: a | loss: 0.2746 | acc: 91.35% | auc: 99.33%
2023-11-02 11:45 before_fed Round:   7 | Epochs:  35 | Domain: c | loss: 0.2187 | acc: 92.41% | auc: 99.41%
2023-11-02 11:47 before_fed Round:   7 | Epochs:  35 | Domain: s | loss: 0.1869 | acc: 93.47% | auc: 99.69%
2023-11-02 11:49 after_fed Round:   7 | Epochs:  35 | Domain: a | loss: 0.5872 | acc: 80.29% | auc: 97.81%
2023-11-02 11:49 after_fed Round:   7 | Epochs:  35 | Domain: c | loss: 0.4807 | acc: 83.12% | auc: 98.65%
2023-11-02 11:49 after_fed Round:   7 | Epochs:  35 | Domain: s | loss: 0.2257 | acc: 91.71% | auc: 99.52%
2023-11-02 11:49 Model saved! Best Val Acc: 86.48%
2023-11-02 11:49 test_domain Round:   7 | Epochs:  35 | Domain: p | loss: 0.2791 | acc: 91.50% | auc: 99.41%
2023-11-02 11:51 before_fed Round:   8 | Epochs:  40 | Domain: a | loss: 0.2746 | acc: 90.87% | auc: 99.32%
2023-11-02 11:52 before_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.2049 | acc: 93.67% | auc: 99.47%
2023-11-02 11:54 before_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.1806 | acc: 92.71% | auc: 99.68%
2023-11-02 11:56 after_fed Round:   8 | Epochs:  40 | Domain: a | loss: 0.5646 | acc: 82.21% | auc: 97.93%
2023-11-02 11:56 after_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.4825 | acc: 85.23% | auc: 98.70%
2023-11-02 11:56 after_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.2178 | acc: 92.46% | auc: 99.54%
2023-11-02 11:56 Model saved! Best Val Acc: 87.90%
2023-11-02 11:56 test_domain Round:   8 | Epochs:  40 | Domain: p | loss: 0.2596 | acc: 91.92% | auc: 99.49%
2023-11-02 11:58 before_fed Round:   9 | Epochs:  45 | Domain: a | loss: 0.2565 | acc: 90.87% | auc: 99.41%
2023-11-02 11:59 before_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.2072 | acc: 93.67% | auc: 99.45%
2023-11-02 12:01 before_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.1848 | acc: 93.47% | auc: 99.68%
2023-11-02 12:03 after_fed Round:   9 | Epochs:  45 | Domain: a | loss: 0.5566 | acc: 82.69% | auc: 97.98%
2023-11-02 12:03 after_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.4311 | acc: 85.65% | auc: 98.85%
2023-11-02 12:03 after_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.2209 | acc: 91.71% | auc: 99.54%
2023-11-02 12:04 test_domain Round:   9 | Epochs:  45 | Domain: p | loss: 0.2630 | acc: 91.56% | auc: 99.47%
